H,0.0
He,0.0
Li,0.0
Be,0.0
B,0.0
C,0.0
N,0.0
O,0.0
F,0.0
Ne,0.0
Na,0.0
Mg,0.0
Al,0.0
Si,0.0
P,0.0
S,0.0
Cl,0.0
Ar,0.0
K,0.0
Ca,0.0
Sc,9.0
Ti,8.0
V,7.0
Cr,5.0
Mn,5.0
Fe,4.0
Co,3.0
Ni,2.0
Cu,0.0
Zn,0.0
Ga,0.0
Ge,0.0
As,0.0
Se,0.0
Br,0.0
Kr,0.0
Rb,0.0
Sr,0.0
Y,9.0
Zr,8.0
Nb,6.0
Mo,5.0
Tc,5.0
Ru,3.0
Rh,2.0
Pd,0.0
Ag,0.0
Cd,0.0
In,0.0
Sn,0.0
Sb,0.0
Te,0.0
I,0.0
Xe,0.0
Cs,0.0
Ba,0.0
La,9.0
Ce,9.0
Pr,0.0
Nd,0.0
Pm,0.0
Sm,0.0
Eu,0.0
Gd,9.0
Tb,0.0
Dy,0.0
Ho,0.0
Er,0.0
Tm,0.0
Yb,0.0
Lu,9.0
Hf,8.0
Ta,7.0
W,6.0
Re,5.0
Os,4.0
Ir,3.0
Pt,1.0
Au,0.0
Hg,0.0
Tl,0.0
Pb,0.0
Bi,0.0
Po,0.0
At,0.0
Rn,0.0
Fr,0.0
Ra,0.0
Ac,9.0
Th,8.0
Pa,9.0
U,9.0
Np,9.0
Pu,0.0
Am,0.0
Cm,9.0
Bk,0.0
Cf,0.0
Es,0.0
Fm,0.0
Md,0.0
No,0.0
Lr,0.0
Rf,8.0
Db,7.0
Sg,6.0
Bh,5.0
Hs,4.0
Mt,3.0
Ds,1.0
Rg,0.0
Cn,0.0
