Na,11,22.989769,2,0.53,0.0007,0,0,0.5,,0.93,0.87,5.14,52.87,2.00E-10,31,26,21,0.615,0.74,11,10.98,10.922,10.83,10.709,10.568,10.412,10.249,10.084,9.92,9.76,9.605,9.455,9.309,9.166,9.027,8.888,8.751,8.613,8.475,8.335,8.052,7.764,7.618,7.471,7.176,6.881,6.588,6.298,6.156,6.015,5.739,5.471,5.214,4.967,4.848,4.731,4.506,4.293,3.811,3.398,3.048,2.754,2.305,1.997,1.784,1.634,1.524,1.438,1.367,1.304,1.247,1.191,1.137,1.084,1.032,0.791,0.591,0.438,0.325,0.183,0.107,1,1,1,0,0,0,1,1,0,0,0,166,155,160,,1.1,1.55,,180,180,190,227,186,39.76,968,7.00E-05,6.3,3.3,10,0.69,,0.5,4.70E-08,21000000,2.7,0.82,8.27,260.00,30,32,2.146128036,2.6,97.7,1156,370.87,158,1.11,6.8,14.7,0,-1.260241,3.881673,4.890602,0,29.243333
Mg,12,24.305,68,0.063,0.0001,0,0,0,10.5,1.31,1.29,7.65,-40,1.68E-10,18,15,12,0.75,1.3,12,11.978,11.914,11.811,11.674,11.507,11.319,11.116,10.903,10.687,10.472,10.262,10.059,9.864,9.678,9.502,9.334,9.175,9.023,8.876,8.735,8.465,8.205,8.078,7.951,7.698,7.446,7.194,6.943,6.817,6.691,6.442,6.194,5.951,5.712,5.595,5.48,5.253,5.034,4.52,4.059,3.652,3.297,2.729,2.317,2.022,1.812,1.66,1.546,1.459,1.387,1.326,1.27,1.219,1.169,1.12,0.892,0.691,0.527,0.401,0.234,0.141,2,0,0,0,0,0,2,2,0,0,0,141,139,132,127,0.9,1.13,,160,150,145,173,160,23.48,1738,2.48E-05,45,17,45,260,,2.5,4.40E-08,23000000,3.45,1.17,5.81,760.00,62,50,2.204119983,8.7,128,1363,923,400,1.51,35.4,2.82,0,-1.542272,3.577327,4.507149,0,22.89
Al,13,26.981539,73,0.233,0.03,0.5,1,0.5,8.22,1.61,1.61,5.99,41.76,2.10E-10,22,19,15,0.663,0.61,13,12.976,12.903,12.786,12.629,12.439,12.222,11.987,11.739,11.485,11.23,10.978,10.733,10.498,10.273,10.059,9.857,9.667,9.487,9.318,9.158,8.862,8.592,8.465,8.341,8.103,7.873,7.648,7.426,7.316,7.205,6.985,6.766,6.548,6.33,6.222,6.115,5.902,5.692,5.186,4.713,4.277,3.883,3.221,2.712,2.33,2.049,1.841,1.687,1.571,1.481,1.408,1.346,1.292,1.243,1.195,0.979,0.783,0.615,0.478,0.29,0.179,3,5,0,5,0,0,3,2,1,0,0,121,126,113,111,0.77,0.905,,141,125,118,184,143,16.61,2700,2.31E-05,76,26,70,245,167,2.75,2.60E-08,38000000,4.2,1.39,4.64,1160.00,76,63,2.371067862,10.7,293,2792,933.47,428,3.39,72.2,1.385,0,-3.745423,3.206238,4.039607,0,16.48
Si,14,28.0855,78,0.166,0.0002,1,1,0,5.53,1.9,1.92,8.15,134.07,-4.49E-11,18,15,12,0.774,1.1,14,13.976,13.904,13.787,13.628,13.434,13.209,12.961,12.695,12.417,12.134,11.849,11.567,11.292,11.025,10.769,10.525,10.293,10.074,9.868,9.673,9.319,9.004,8.859,8.722,8.467,8.231,8.011,7.8,7.698,7.597,7.398,7.202,7.008,6.815,6.719,6.622,6.431,6.24,5.769,5.312,4.878,4.47,3.75,3.164,2.702,2.346,2.076,1.872,1.717,1.598,1.505,1.43,1.367,1.313,1.264,1.056,0.867,0.699,0.566,0.349,0.222,4,4,0,4,0,0,4,2,2,0,0,111,116,107,102,0.68,0.74,,110,110,111,210,,20.02,2330,2.60E-06,100,,47,,,6.5,0.001,1000,4.7,1.5,4.2,1250.00,74,60,2.176091259,50.2,359,3173,1687,645,4.63,98.8,1.012,0.773,-5.424918,3.44485,4.340239,0,20.44
P,15,30.973762,83,0.18,0.0002,1.5,1,1.5,3.69,2.19,2.25,10.49,72.04,-3.50E-10,13,11,9.2,0.878,1.6,15,14.977,14.909,14.798,14.646,14.458,14.237,13.99,13.721,13.435,13.138,12.834,12.527,12.223,11.922,11.629,11.345,11.072,10.811,10.563,10.327,9.894,9.51,9.335,9.17,8.869,8.6,8.357,8.134,8.029,7.928,7.733,7.547,7.367,7.19,7.103,7.017,6.845,6.674,6.25,5.829,5.418,5.02,4.284,3.649,3.122,2.698,2.364,2.104,1.903,1.747,1.626,1.53,1.453,1.389,1.333,1.122,0.942,0.777,0.632,0.411,0.268,5,3,0,3,0,0,5,2,3,0,0,107,111,102,94,0.6,0.64,,102,100,98,180,,18.99,1823,,11,,,,,,1.00E-07,10000000,5.55,1.65,4.15,1100.00,62,50,-0.627087997,0.64,12.4,553.5,317.3,,3.43,,,1.625,-5.400509,3.560591,4.486063,0,22.570238
S,16,32.065,88,0.52,0.00055,1,1,2,2.87,2.58,2.59,10.36,200.41,-1.99E-10,12,10,8.4,0.873,1.1,16,15.979,15.915,15.809,15.665,15.484,15.271,15.03,14.764,14.478,14.177,13.865,13.546,13.224,12.902,12.583,12.27,11.964,11.668,11.382,11.109,10.598,10.138,9.927,9.727,9.363,9.039,8.752,8.494,8.376,8.262,8.051,7.856,7.673,7.501,7.417,7.335,7.174,7.017,6.633,6.254,5.877,5.505,4.79,4.138,3.57,3.092,2.699,2.384,2.133,1.935,1.779,1.655,1.557,1.477,1.411,1.182,1.009,0.849,0.705,0.474,0.316,6,2,0,2,0,0,6,2,4,0,0,105,103,94,95,0.54,0.56,,103,100,88,180,,25.76,1960,,7.7,,,,,2,1E+15,1.00E-15,,,,,,,-0.688246139,1.73,9.8,717.72,388.36,,2.85,,,2.202,-4.097217,3.722285,4.689785,0,25.786875
Cl,17,35.453,94,35.3,0.033,0.5,1,1.5,2.16,3.16,2.87,12.97,348.58,-5.11E-10,10,8.4,6.9,0.976,1.8,17,16.98,16.919,16.82,16.683,16.511,16.306,16.073,15.814,15.533,15.234,14.921,14.597,14.266,13.932,13.597,13.263,12.934,12.611,12.297,11.991,11.413,10.881,10.633,10.398,9.964,9.576,9.231,8.923,8.782,8.649,8.403,8.181,7.979,7.794,7.706,7.621,7.459,7.305,6.941,6.595,6.254,5.915,5.245,4.607,4.023,3.509,3.07,2.704,2.405,2.162,1.967,1.811,1.686,1.585,1.502,1.24,1.069,0.915,0.773,0.536,0.367,5,1,0,1,0,0,7,2,5,0,0,102,99,95,93,0.5,0.51,,,100,79,175,,29.05,3.214,,1.1,,,,,,100,0.01,,,,,,,-2.050609993,3.2,10.2,238.96,171.6,,1.4,,,2.493,-1.784434,3.659181,4.610279,0,24.4975
Ar,18,39.948,100,0.66,0.00059,0,0,0,,,3.24,15.76,-96,-2.40E-10,7,5.8,4.7,1.076,2,18,17.981,17.924,17.83,17.7,17.536,17.34,17.116,16.865,16.591,16.298,15.988,15.665,15.331,14.991,14.647,14.301,13.957,13.615,13.279,12.949,12.315,11.721,11.441,11.172,10.671,10.216,9.807,9.441,9.272,9.113,8.82,8.558,8.322,8.11,8.011,7.917,7.739,7.575,7.207,6.875,6.56,6.252,5.639,5.036,4.46,3.931,3.462,3.056,2.713,2.427,2.192,2,1.844,1.717,1.614,1.301,1.123,0.974,0.836,0.597,0.419,0,0,0,0,0,0,8,2,6,0,0,106,96,107,96,0.46,0.46,,,71,71,188,,36.3,1.784,,,,,,,,,,,,,,,,-1.751536282,1.18,6.5,87.2,83.8,92,0.08,,,9.26,0.058541,3.850301,4.851075,0,28.54
K,19,39.0983,3,2.1,0.0018,0.5,0,0.5,,0.82,0.73,4.34,48.38,2.62E-10,40,34,28,0.565,0.52,19,18.963,18.854,18.683,18.462,18.204,17.924,17.63,17.332,17.032,16.733,16.436,16.138,15.841,15.543,15.243,14.941,14.638,14.334,14.031,13.728,13.13,12.55,12.268,11.994,11.468,10.977,10.521,10.103,9.908,9.722,9.375,9.061,8.778,8.522,8.403,8.29,8.08,7.889,7.474,7.125,6.814,6.523,5.961,5.406,4.859,4.337,3.855,3.423,3.045,2.722,2.45,2.221,2.033,1.876,1.748,1.367,1.174,1.028,0.895,0.657,0.472,1,1,1,0,0,0,1,1,0,0,0,203,196,193,,1.54,2.15,0.37,230,220,243,275,227,75.63,856,,3.1,1.3,,0.363,,0.4,7.00E-08,14000000,2.25,0.65,12.77,130.00,23,24,2,2.33,76.9,1032,336.53,91,0.93,3.2,31,0,-1.09754,5.268201,6.637517,0,73.106667
Ca,20,40.078,7,0.43,0.00037,0,0,0,23.8,1,1.03,6.11,2.37,5.53E-10,25,21,17,0.67,0.95,20,19.959,19.838,19.645,19.392,19.091,18.758,18.405,18.045,17.685,17.331,16.987,16.655,16.334,16.024,15.723,15.43,15.142,14.859,14.58,14.304,13.76,13.225,12.961,12.701,12.194,11.705,11.24,10.8,10.59,10.388,10.004,9.65,9.324,9.025,8.885,8.752,8.502,8.275,7.788,7.392,7.057,6.762,6.228,5.717,5.209,4.71,4.233,3.791,3.391,3.039,2.733,2.47,2.25,2.063,1.908,1.444,1.225,1.078,0.949,0.715,0.524,2,0,0,0,0,0,2,2,0,0,0,176,171,147,133,1.32,1.68,0.34,201,180,194,231,197,44.19,1550,2.23E-05,17,7.4,20,167,,1.75,3.40E-08,29000000,2.55,0.91,8.82,490.00,60,65,2.301029996,8.54,155,1757,1115,230,1.84,15.2,6.58,0,-1.94833,4.22726,5.326014,0,37.77
