Element,AtomicVolume,AtomicWeight,BoilingTemp,BulkModulus,Column,CovalentRadius,Density,ElectronAffinity,Electronegativity,FirstIonizationEnergy,FusionEnthalpy,FusionHeat,GSbandgap,GSenergy_pa,GSestBCClatcnt,GSestFCClatcnt,GSmagmom,GSvolume_pa,HHIp,HHIr,HeatCapacityMass,HeatCapacityMolar,HeatFusion,ICSDVolume,IsAlkali,IsDBlock,IsFBlock,IsMetal,IsMetalloid,IsNonmetal,MeltingTemp,MendeleevNumber,MiracleRadius,NUnfilled,NValance,NdUnfilled,NdValence,NeutronCrossSection,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,Number,Polarizability,Resistivity,Row,ShearModulus,SpaceGroupNumber,ThermalConductivity,Valence,VaporizationHeat,Wigner,ZungerPP-r_d,ZungerPP-r_p,ZungerPP-r_pi,ZungerPP-r_s,ZungerPP-r_sigma
In,26.082658,114.818,2345.0,,13.0,142.0,7310.0,28.9,1.78,5.78636,3.291,3.26,0.0,-2.666802,3.647318,4.595332,0.0,24.26,3300.0,2000.0,0.233,26.74,3.291,26.14,0.0,0.0,0.0,1.0,0.0,0.0,429.75,75.0,155.0,5.0,13.0,0.0,10.0,194.0,0.0,0.0,5.0,1.0,0.0,2.0,49.0,9.65,82.,5.0,,139.0,82.0,3.0,230.0,1.17,0.36,1.11,0.17,0.94,2.05
Sn,26.966784999999998,118.71,2875.0,58.0,14.0,139.0,7310.0,107.3,1.96,7.34392,7.15,7.0,0.0,-3.961047,4.052841,5.106259,0.0,33.285,2600.0,1600.0,0.227,26.99,7.15,27.05,0.0,0.0,0.0,1.0,0.0,0.0,505.08,80.0,155.0,4.0,14.0,0.0,10.0,0.62,0.0,0.0,4.0,2.0,0.0,2.0,50.0,7.06,67.,5.0,18.0,141.0,67.0,4.0,290.0,1.24,0.345,1.0,0.12,0.88,1.88
Sb,30.191422999999997,121.76,1860.0,42.0,15.0,139.0,6697.0,103.2,2.05,8.60839,19.79,19.7,0.0,-4.117362,3.981582,5.016479,0.0,31.56,7900.0,3400.0,0.207,25.23,19.79,30.21,0.0,0.0,0.0,1.0,1.0,0.0,903.78,85.0,155.0,3.0,15.0,0.0,10.0,5.4,0.0,0.0,3.0,3.0,0.0,2.0,51.0,6.6,24.,5.0,20.0,166.0,24.0,5.0,67.0,1.26,0.335,0.935,0.105,0.83,1.765
Te,33.956689000000004,127.6,1261.0,65.0,16.0,138.0,6240.0,190.2,2.1,9.0096,17.38,17.5,0.464,-3.1413029999999997,4.111975,5.180764,0.0,34.763333,2900.0,4900.0,0.202,25.73,17.38,33.94,0.0,0.0,0.0,0.0,1.0,0.0,722.66,90.0,140.0,2.0,16.0,0.0,10.0,5.4,0.0,0.0,2.0,4.0,0.0,2.0,52.0,5.5,3.,5.0,16.0,152.0,3.0,6.0,48.0,,0.325,0.88,0.09,0.79,1.67
I,42.658857,126.90446999999999,457.3,7.7,17.0,139.0,4940.0,295.2,2.66,10.451260000000001,7.76,7.76,1.062,-1.5054020000000001,4.414518,5.561944,0.0,43.015,4900.0,4800.0,0.214,54.43,7.76,42.51,0.0,0.0,0.0,0.0,0.0,1.0,386.85,96.0,,1.0,17.0,0.0,10.0,6.3,0.0,0.0,1.0,5.0,0.0,2.0,53.0,5.025,0.449,5.0,,64.0,0.449,7.0,20.9,,0.315,0.83,0.075,0.755,1.585
Xe,36952.924024,131.293,165.0,,18.0,140.0,5.9,0.0,2.6,12.12984,2.27,2.3,6.456,0.048731000000000003,4.751892,5.987009,0.0,53.65,,,0.158,20.786,2.27,57.83,0.0,0.0,0.0,0.0,0.0,1.0,161.3,102.0,,0.0,18.0,0.0,10.0,25.0,0.0,0.0,0.0,6.0,0.0,2.0,54.0,4.044,0.00565,5.0,,225.0,0.00565,6.0,12.64,,0.305,0.81,0.06,0.75,1.56
Cs,117.45601599999999,132.905452,944.0,1.6,1.0,244.0,1879.0,45.5,0.79,3.893905,2.09,2.09,0.0,-0.854626,6.140480999999999,7.736522,0.0,115.765,6000.0,6000.0,0.242,32.21,2.09,67.55,1.0,0.0,0.0,1.0,0.0,0.0,301.59,5.0,264.0,1.0,1.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0,1.0,55.0,59.42,36.,6.0,,229.0,36.0,1.0,64.0,0.55,,2.6,0.89,1.71,4.31
Ba,64.96928199999999,137.327,2143.0,9.6,2.0,215.0,3510.0,13.95,0.89,5.211664,7.12,8.0,0.0,-1.9235220000000002,5.028899,6.336016000000001,0.0,63.59,3000.0,2300.0,0.204,28.07,7.12,62.88,1.0,0.0,0.0,1.0,0.0,0.0,1000.0,9.0,223.0,0.0,2.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,2.0,56.0,39.7,18.,6.0,4.9,229.0,18.0,2.0,140.0,0.81,0.94,1.887,0.372,1.515,3.402
La,37.530646000000004,138.90547,3737.0,28.0,3.0,207.0,6146.0,48.0,1.1,5.5769,6.2,6.3,0.0,-4.9275459999999995,4.194456,5.284683,0.0,36.8975,9500.0,3100.0,0.195,27.11,6.2,37.42,0.0,0.0,1.0,1.0,0.0,0.0,1193.0,13.0,187.0,9.0,3.0,9.0,1.0,8.98,0.0,0.0,0.0,0.0,0.0,2.0,57.0,31.1,13.,6.0,14.0,194.0,13.0,3.0,400.0,1.18,0.874,1.705,0.33,1.375,3.08
Ce,34.784501,140.116,3633.0,22.0,3.0,204.0,6689.0,50.0,1.12,5.5387,5.46,5.5,0.0,-4.7765699999999995,4.207394,5.300985,0.0,37.24,9500.0,3100.0,0.192,26.94,5.46,34.47,0.0,0.0,1.0,1.0,0.0,0.0,1071.0,15.0,182.0,22.0,4.0,9.0,1.0,0.6,13.0,1.0,0.0,0.0,0.0,2.0,58.0,29.6,11.,6.0,14.0,194.0,11.0,4.0,350.0,1.19,,,,,4.5
Pr,35.239176,140.90765,3563.0,29.0,3.0,203.0,6640.0,50.0,1.13,5.473,6.89,6.9,0.0,-4.77383,4.147611,5.225662000000001,0.0,35.675,9500.0,3100.0,0.193,27.2,6.89,34.5,0.0,0.0,1.0,1.0,0.0,0.0,1204.0,17.0,183.0,11.0,5.0,0.0,0.0,11.4,11.0,3.0,0.0,0.0,0.0,2.0,59.0,28.2,13.,6.0,15.0,194.0,13.0,4.0,330.0,1.2,,,,,4.48
Nd,34.169055,144.242,3373.0,32.0,3.0,201.0,7010.0,50.0,1.14,5.525,7.14,7.1,0.0,-4.762351,4.113814,5.183081,0.0,34.81,9500.0,3100.0,0.19,27.45,7.14,34.2,0.0,0.0,1.0,1.0,0.0,0.0,1294.0,19.0,182.0,10.0,6.0,0.0,0.0,49.0,10.0,4.0,0.0,0.0,0.0,2.0,60.0,31.4,17.,6.0,16.0,194.0,17.0,3.0,285.0,1.2,,,,,3.99
Pm,33.147549,145.0,3273.0,33.0,3.0,199.0,7264.0,50.0,1.155,5.582,,7.7,0.0,-4.7446209999999995,4.075343,5.1346099999999995,0.0,33.8425,9500.0,3100.0,,,,33.67,0.0,0.0,1.0,1.0,0.0,0.0,1373.0,21.0,185.0,9.0,7.0,0.0,0.0,8400.0,9.0,5.0,0.0,0.0,0.0,2.0,61.0,30.1,15.,6.0,18.0,194.0,15.0,3.0,290.0,1.21,,,,,3.99
Sm,33.956819,150.36,2076.0,38.0,3.0,198.0,7353.0,50.0,1.17,5.6437,8.62,8.5,0.0,-4.71338,4.050607,5.103445,0.0,33.23,9500.0,3100.0,0.196,29.54,8.62,33.14,0.0,0.0,1.0,1.0,0.0,0.0,1345.0,23.0,185.0,8.0,8.0,0.0,0.0,5900.0,8.0,6.0,0.0,0.0,0.0,2.0,62.0,28.8,13.,6.0,20.0,166.0,13.0,3.0,175.0,1.21,,,,,4.14
Eu,48.121292,151.964,1800.0,8.3,3.0,198.0,5244.0,50.0,1.185,5.670380000000001,9.21,9.3,0.0,-1.8295869999999999,4.177812,5.263713,0.0,36.46,9500.0,3100.0,0.182,27.66,9.21,48.53,0.0,0.0,1.0,1.0,0.0,0.0,1095.0,25.0,196.0,7.0,9.0,0.0,0.0,4570.0,7.0,7.0,0.0,0.0,0.0,2.0,63.0,27.7,14.,6.0,7.9,229.0,14.0,3.0,175.0,0.88,,,,,3.94
Gd,33.049724,157.25,3523.0,38.0,3.0,196.0,7901.0,50.0,1.2,6.1498,9.67,10.0,0.0,-4.654421,4.002082,5.042308,0.0,32.05,9500.0,3100.0,0.235,37.03,9.67,32.98,0.0,0.0,1.0,1.0,0.0,0.0,1586.0,27.0,176.0,16.0,10.0,9.0,1.0,4900.0,7.0,7.0,0.0,0.0,0.0,2.0,64.0,23.5,11.,6.0,22.0,194.0,11.0,3.0,305.0,1.21,,,,,3.91
Tb,32.109493,158.92535,3503.0,38.7,3.0,194.0,8219.0,50.0,1.21,5.8638,10.15,10.8,0.0,-4.629218,3.9889980000000005,5.025822,0.0,31.736666999999997,9500.0,3100.0,0.182,28.91,10.15,31.95,0.0,0.0,1.0,1.0,0.0,0.0,1629.0,29.0,176.0,5.0,11.0,0.0,0.0,23.0,5.0,9.0,0.0,0.0,0.0,2.0,65.0,25.5,11.,6.0,22.0,194.0,11.0,3.0,295.0,1.22,,,,,3.89
Dy,31.557,162.5,2840.0,41.0,3.0,192.0,8551.0,50.0,1.22,5.9389,11.35,11.1,0.0,-4.601554,3.968079,4.999467,0.0,31.24,9500.0,3100.0,0.173,28.16,11.35,31.6,0.0,0.0,1.0,1.0,0.0,0.0,1685.0,31.0,175.0,4.0,12.0,0.0,0.0,950.0,4.0,10.0,0.0,0.0,0.0,2.0,66.0,24.5,11.,6.0,25.0,194.0,11.0,3.0,280.0,1.22,,,,,3.67
Ho,31.14038,164.93032,2973.0,40.0,3.0,192.0,8795.0,50.0,1.23,6.0215,11.76,17.0,0.0,-4.577417,3.94651,4.972291,0.0,30.733333000000002,9500.0,3100.0,0.165,27.15,11.76,31.11,0.0,0.0,1.0,1.0,0.0,0.0,1747.0,33.0,177.0,3.0,13.0,0.0,0.0,64.0,3.0,11.0,0.0,0.0,0.0,2.0,67.0,23.6,16.,6.0,26.0,194.0,16.0,3.0,265.0,1.22,,,,,3.65
Er,30.636067999999998,167.259,3141.0,44.0,3.0,189.0,9066.0,50.0,1.24,6.1077,19.9,19.9,0.0,-4.5636339999999995,3.940151,4.964279,0.0,30.585,9500.0,3100.0,0.168,28.12,19.9,30.67,0.0,0.0,1.0,1.0,0.0,0.0,1770.0,35.0,175.0,2.0,14.0,0.0,0.0,165.0,2.0,12.0,0.0,0.0,0.0,2.0,68.0,22.7,15.,6.0,28.0,194.0,15.0,3.0,285.0,1.23,,,,,3.63
Tm,30.096386,168.93421,2223.0,45.0,3.0,190.0,9321.0,50.0,1.25,6.18431,16.84,16.8,0.0,-4.473878,3.905274,4.920338,0.0,29.78,9500.0,3100.0,0.16,27.03,16.84,30.14,0.0,0.0,1.0,1.0,0.0,0.0,1818.0,37.0,175.0,1.0,15.0,0.0,0.0,105.0,1.0,13.0,0.0,0.0,0.0,2.0,69.0,21.8,17.,6.0,31.0,194.0,17.0,3.0,250.0,1.23,,,,,3.6
Yb,43.739672,173.054,1469.0,31.0,3.0,187.0,6570.0,50.0,1.26,6.25416,7.66,7.7,0.0,-1.474104,4.086451,5.148606,0.0,34.12,9500.0,3100.0,0.155,26.74,7.66,41.17,0.0,0.0,1.0,1.0,0.0,0.0,1092.0,39.0,190.0,0.0,16.0,0.0,0.0,35.0,0.0,14.0,0.0,0.0,0.0,2.0,70.0,20.9,39.,6.0,9.9,225.0,39.0,3.0,160.0,0.92,,,,,3.59
Lu,29.524032000000002,174.9668,3675.0,48.0,3.0,187.0,9841.0,50.0,1.27,5.42586,18.65,22.0,0.0,-4.523,3.864861,4.869419000000001,0.002247,28.865,9500.0,3100.0,0.154,26.86,18.65,29.52,0.0,1.0,1.0,1.0,0.0,0.0,1936.0,41.0,175.0,9.0,17.0,9.0,1.0,85.0,0.0,14.0,0.0,0.0,0.0,2.0,71.0,21.9,16.,6.0,27.0,194.0,16.0,3.0,415.0,1.24,,,,,3.37
Hf,22.268711,178.49,4876.0,110.0,4.0,175.0,13310.0,0.0,1.3,6.825069999999999,27.2,25.5,0.0,-9.954299,3.541014,4.461398,0.0,22.2,3400.0,2600.0,0.144,25.73,27.2,22.42,0.0,1.0,0.0,1.0,0.0,0.0,2506.0,45.0,158.0,8.0,18.0,8.0,2.0,104.0,0.0,14.0,0.0,0.0,0.0,2.0,72.0,16.2,23.,6.0,30.0,194.0,23.0,4.0,630.0,1.45,0.63,1.61,0.31,1.3,2.91
Ta,18.04673,180.94788,5731.0,200.0,5.0,170.0,16650.0,31.0,1.5,7.54957,36.57,36.0,0.0,-11.8514,3.309249,4.169392,0.0,18.12,2300.0,4800.0,0.14,25.36,36.57,17.65,0.0,1.0,0.0,1.0,0.0,0.0,3290.0,48.0,145.0,7.0,19.0,7.0,3.0,20.5,0.0,14.0,0.0,0.0,0.0,2.0,73.0,13.1,57.,6.0,69.0,229.0,57.0,5.0,736.0,1.63,0.605,1.54,0.29,1.25,2.79
W,15.858734,183.84,5828.0,310.0,6.0,162.0,19250.0,78.6,2.36,7.8640300000000005,52.31,35.0,0.0,-12.958801,3.178106,4.004162,0.0,16.05,7000.0,4300.0,0.132,24.27,52.31,15.85,0.0,1.0,0.0,1.0,0.0,0.0,3695.0,51.0,135.0,6.0,20.0,6.0,4.0,18.4,0.0,14.0,0.0,0.0,0.0,2.0,74.0,11.1,170.,6.0,161.0,229.0,170.0,6.0,800.0,1.81,0.59,1.515,0.295,1.22,2.735
Re,14.710334,186.207,5869.0,370.0,7.0,151.0,21020.0,14.5,1.9,7.83352,34.08,33.0,0.0,-12.417028,3.083225,3.884621,0.0,14.655,3300.0,3300.0,0.137,25.48,34.08,14.71,0.0,1.0,0.0,1.0,0.0,0.0,3459.0,54.0,137.0,5.0,21.0,5.0,5.0,90.0,0.0,14.0,0.0,0.0,0.0,2.0,75.0,9.7,48.,6.0,178.0,194.0,48.0,7.0,705.0,1.85,0.565,1.49,0.3,1.19,2.68
Os,13.983698,190.23,5285.0,,8.0,144.0,22590.0,106.1,2.2,8.43823,57.85,31.0,0.0,-11.220704,3.043082,3.834043,0.0,14.09,5500.0,9100.0,0.13,24.7,57.85,13.8,0.0,1.0,0.0,1.0,0.0,0.0,3306.0,57.0,135.0,4.0,22.0,4.0,6.0,15.0,0.0,14.0,0.0,0.0,0.0,2.0,76.0,8.5,87.,6.0,222.0,194.0,87.0,6.0,630.0,1.85,0.543,1.48,0.31,1.17,2.65
Ir,14.14855,192.217,4701.0,320.0,9.0,141.0,22560.0,151.0,2.2,8.96702,41.12,26.0,0.0,-8.848511,3.0516970000000003,3.844897,0.0,14.21,5500.0,9100.0,0.131,25.1,41.12,13.88,0.0,1.0,0.0,1.0,0.0,0.0,2739.0,60.0,136.0,3.0,23.0,3.0,7.0,425.0,0.0,14.0,0.0,0.0,0.0,2.0,77.0,7.6,150.,6.0,210.0,225.0,150.0,6.0,560.0,1.83,0.526,1.468,0.308,1.16,2.628
Pt,15.360464000000002,195.084,4098.0,230.0,10.0,136.0,21090.0,205.3,2.28,8.9588,22.175,20.0,0.0,-6.02851,3.108613,3.916607,0.0,15.02,5500.0,9100.0,0.133,25.86,22.175,15.1,0.0,1.0,0.0,1.0,0.0,0.0,2041.4,63.0,139.0,2.0,24.0,1.0,9.0,10.0,0.0,14.0,0.0,0.0,1.0,1.0,78.0,6.5,71.,6.0,61.0,225.0,71.0,6.0,490.0,1.78,0.51,1.46,0.22,1.24,2.7
Au,16.947064,196.966569,3129.0,220.0,11.0,136.0,19300.0,222.8,2.54,9.225530000000001,12.55,12.5,0.0,-3.209693,3.220442,4.057503,0.0,16.7,1100.0,1000.0,0.129,25.418,12.55,16.96,0.0,1.0,0.0,1.0,0.0,0.0,1337.33,66.0,143.0,1.0,25.0,0.0,10.0,98.7,0.0,14.0,0.0,0.0,1.0,1.0,79.0,5.8,320.,6.0,27.0,225.0,320.0,5.0,330.0,1.57,0.488,1.45,0.24,1.21,2.66
Hg,24.611742,200.59,629.73,25.0,12.0,132.0,13534.0,0.0,2.0,10.4375,2.295,2.3,0.0,-0.250106,3.695665,4.656246,0.0,25.237586,5500.0,3100.0,0.14,27.983,2.295,23.82,0.0,1.0,0.0,1.0,0.0,0.0,234.32,71.0,152.0,0.0,26.0,0.0,10.0,374.0,0.0,14.0,0.0,0.0,0.0,2.0,80.0,5.36,8.3.,6.0,,166.0,8.3,2.0,59.2,1.24,0.475,1.34,0.27,1.07,2.41
Tl,28.640877000000003,204.3833,1746.0,43.0,13.0,145.0,11850.0,19.2,1.62,6.108194,4.142,4.2,0.0,-2.272678,3.7755589999999994,4.756906,0.0,26.91,6500.0,6500.0,0.129,26.32,4.142,28.53,0.0,0.0,0.0,1.0,0.0,0.0,577.0,76.0,172.0,5.0,27.0,0.0,10.0,3.4,0.0,14.0,5.0,1.0,0.0,2.0,81.0,7.55,46.,6.0,2.8,194.0,46.0,3.0,165.0,1.12,0.463,1.22,0.205,1.015,2.235
Pb,30.341423,207.2,2022.0,46.0,14.0,146.0,11340.0,35.1,2.33,7.4166300000000005,4.774,4.77,0.0,-3.62903,3.8308660000000003,4.826589,0.0,28.11,2700.0,1800.0,0.13,24.7,4.774,30.32,0.0,0.0,0.0,1.0,0.0,0.0,600.61,81.0,174.0,4.0,28.0,0.0,10.0,0.171,0.0,14.0,4.0,2.0,0.0,2.0,82.0,6.995,35.,6.0,5.6,225.0,35.0,4.0,178.0,1.15,0.45,1.13,0.17,0.96,2.09
Bi,35.483459,208.9804,1837.0,31.0,15.0,148.0,9780.0,91.2,2.02,7.2855,11.106,10.9,0.0,-3.973694,4.039198000000001,5.089071,0.0,32.95,5300.0,6000.0,0.122,25.52,11.106,35.38,0.0,0.0,0.0,1.0,0.0,0.0,544.4,86.0,162.0,3.0,29.0,0.0,10.0,0.034,0.0,14.0,3.0,3.0,0.0,2.0,83.0,0.4,8.,6.0,12.0,12.0,8.0,5.0,160.0,1.16,0.438,1.077,0.157,0.92,1.997
Po,37.740406,209.0,1235.0,,16.0,140.0,9196.0,183.3,2.0,8.414,10.0,13.0,0.0,-4.039348,4.262822,5.370819,0.0,38.73125,,,,,10.0,37.38,0.0,0.0,0.0,1.0,1.0,0.0,527.0,91.0,168.0,2.0,30.0,0.0,10.0,0.5,0.0,14.0,2.0,4.0,0.0,2.0,84.0,6.8,,6.0,,221.0,,6.0,100.0,,0.425,1.02,0.14,0.88,1.9
At,,210.0,,,17.0,150.0,,270.1,2.2,9.2,,6.0,0.0,-4.039348,4.262822,5.370819,0.0,38.73125,,,,,,39.49,0.0,0.0,0.0,0.0,0.0,1.0,575.0,97.0,,1.0,31.0,0.0,10.0,,0.0,14.0,1.0,5.0,0.0,2.0,85.0,6.0,2.,6.0,,,2.0,7.0,40.0,,0.475,0.98,0.13,0.85,1.83
Rn,37887.799548,222.0,211.3,,18.0,150.0,9.73,,,10.7485,,3.0,0.0,-4.039348,4.262822,5.370819,0.0,38.73125,,,0.094,20.786,,41.71,0.0,0.0,0.0,0.0,0.0,1.0,202.0,103.0,,0.0,32.0,0.0,10.0,0.7,0.0,14.0,0.0,6.0,0.0,2.0,86.0,5.3,0.00361,6.0,,,0.00361,6.0,17.0,,0.405,0.94,0.1,0.84,1.78
Fr,,223.0,,,1.0,260.0,,,0.7,4.072741000000001,,2.0,0.0,-4.039348,4.262822,5.370819,0.0,38.73125,,,,,,79.69,1.0,0.0,0.0,1.0,0.0,0.0,,6.0,,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,87.0,47.85,,7.0,,,,1.0,64.0,,,,,,4.37
Ra,75.05812,226.0,2010.0,,2.0,221.0,5000.0,,0.9,5.278423,7.7,8.0,0.0,-4.039348,4.262822,5.370819,0.0,38.73125,,,,,7.7,68.22,1.0,0.0,0.0,1.0,0.0,0.0,973.0,10.0,,0.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,88.0,38.3,19.,7.0,,229.0,19.0,2.0,125.0,,,,,,3.53
Ac,37.433085999999996,227.0,3473.0,,3.0,215.0,10070.0,,1.1,5.17,12.0,14.0,0.0,-4.105002,4.4651629999999995,5.625753,0.0,44.5125,,,0.12,27.2,12.0,37.45,0.0,0.0,1.0,1.0,0.0,0.0,1323.0,14.0,,9.0,3.0,9.0,1.0,880.0,0.0,0.0,0.0,0.0,0.0,2.0,89.0,32.1,12.,7.0,,225.0,12.0,3.0,400.0,,,,,,3.12
Th,32.865683000000004,232.03806,5093.0,54.0,3.0,206.0,11724.0,,1.3,6.3067,13.81,16.0,0.0,-7.412542999999999,4.015358,5.059034,0.0,32.37,,,0.118,27.32,13.81,32.86,0.0,0.0,1.0,1.0,0.0,0.0,2023.0,16.0,178.0,8.0,4.0,8.0,2.0,7.4,0.0,0.0,0.0,0.0,0.0,2.0,90.0,32.1,54.,7.0,31.0,225.0,54.0,4.0,530.0,1.28,,,,,4.98
Pa,24.961160999999997,231.03586,4273.0,,3.0,200.0,15370.0,,1.5,5.89,12.34,15.0,0.0,-9.497411999999999,3.692852,4.652702,0.0,25.18,,,,,12.34,24.94,0.0,0.0,1.0,1.0,0.0,0.0,1845.0,18.0,165.0,21.0,5.0,9.0,1.0,200.0,12.0,2.0,0.0,0.0,0.0,2.0,91.0,25.4,47.,7.0,,139.0,47.0,5.0,470.0,,,,,,4.86
U,20.748847,238.02891,4200.0,100.0,3.0,196.0,19050.0,,1.38,6.1941,9.14,14.0,0.0,-11.29234,3.4213760000000004,4.310664,0.0,20.025,,,0.116,27.665,9.14,21.18,0.0,0.0,1.0,1.0,0.0,0.0,1408.0,20.0,158.0,20.0,6.0,9.0,1.0,7.57,11.0,3.0,0.0,0.0,0.0,2.0,92.0,24.9,27.,7.0,111.0,63.0,27.0,6.0,420.0,1.51,,,,,4.72
Np,19.244839000000002,237.0,4273.0,,3.0,190.0,20450.0,,1.36,6.2657,3.2,10.0,0.0,-12.940314,3.329443,4.194834999999999,0.0,18.45375,,,,,3.2,19.22,0.0,0.0,1.0,1.0,0.0,0.0,917.0,22.0,175.0,19.0,7.0,9.0,1.0,180.0,10.0,4.0,0.0,0.0,0.0,2.0,93.0,24.8,6.,7.0,,62.0,6.0,6.0,335.0,,,,,,4.83
Pu,20.447164,244.0,3503.0,,3.0,187.0,19816.0,,1.28,6.026,2.824,,0.0,-14.326634,3.3068120000000003,4.166322,0.318004,18.08,,,,,2.824,20.04,0.0,0.0,1.0,1.0,0.0,0.0,913.0,24.0,175.0,8.0,8.0,0.0,0.0,1.7,8.0,6.0,0.0,0.0,0.0,2.0,94.0,24.5,6.,7.0,43.0,11.0,6.0,6.0,325.0,1.44,,,,,4.91
Am,29.518684999999998,243.0,2284.0,,3.0,180.0,13670.0,,1.3,5.9738,14.39,,0.0,-14.326634,3.3068120000000003,4.166322,0.318004,18.08,,,,,14.39,29.27,0.0,0.0,1.0,1.0,0.0,0.0,1449.0,26.0,,7.0,9.0,0.0,0.0,74.0,7.0,7.0,0.0,0.0,0.0,2.0,95.0,23.3,10.,7.0,,194.0,10.0,4.0,,,,,,,4.89
Cm,30.359935999999998,247.0,3383.0,,3.0,169.0,13510.0,,1.3,5.9914,14.64,,0.0,-14.326634,3.3068120000000003,4.166322,0.318004,18.08,,,,,14.64,21.04,0.0,0.0,1.0,1.0,0.0,0.0,1618.0,28.0,,16.0,10.0,9.0,1.0,60.0,7.0,7.0,0.0,0.0,0.0,2.0,96.0,23.0,,7.0,,194.0,,4.0,,,,,,,
Bk,27.7512,247.0,,,3.0,,14780.0,,1.3,6.1979,,,0.0,-14.326634,3.3068120000000003,4.166322,0.318004,18.08,,,,,,31.2,0.0,0.0,1.0,1.0,0.0,0.0,1323.0,30.0,,5.0,11.0,0.0,0.0,710.0,5.0,9.0,0.0,0.0,0.0,2.0,97.0,22.7,10,7.0,,194.0,10.0,4.0,,,,,,,
Cf,27.602983000000002,251.0,,,3.0,,15100.0,,1.3,6.2817,,,0.0,-14.326634,3.3068120000000003,4.166322,0.318004,18.08,,,,,,27.31,0.0,0.0,1.0,1.0,0.0,0.0,1173.0,32.0,,4.0,12.0,0.0,0.0,2900.0,4.0,10.0,0.0,0.0,0.0,2.0,98.0,20.5,,7.0,,194.0,,4.0,,,,,,,
Es,,252.0,,,3.0,,,,1.3,6.42,9.41,,0.0,-14.326634,3.3068120000000003,4.166322,0.318004,18.08,,,,,9.41,27.31,0.0,0.0,1.0,1.0,0.0,0.0,1133.0,34.0,,3.0,13.0,0.0,0.0,160.0,3.0,11.0,0.0,0.0,0.0,2.0,99.0,19.7,,7.0,,,,4.0,,,,,,,
Fm,,257.0,,,3.0,,,,1.3,6.5,,,0.0,-14.326634,3.3068120000000003,4.166322,0.318004,18.08,,,,,,27.31,0.0,0.0,1.0,1.0,0.0,0.0,1800.0,36.0,,2.0,14.0,0.0,0.0,5800.0,2.0,12.0,0.0,0.0,0.0,2.0,100.0,23.8,,7.0,,,,3.0,,,,,,,
Md,,258.0,,,3.0,,,,1.3,6.58,,,0.0,-14.326634,3.3068120000000003,4.166322,0.318004,18.08,,,,,,27.31,0.0,0.0,1.0,1.0,0.0,0.0,1100.0,38.0,,1.0,15.0,0.0,0.0,,1.0,13.0,0.0,0.0,0.0,2.0,101.0,18.2,,7.0,,,,3.0,,,,,,,
No,,259.0,,,3.0,,,,1.3,6.65,,,0.0,-14.326634,3.3068120000000003,4.166322,0.318004,18.08,,,,,,27.31,0.0,0.0,1.0,1.0,0.0,0.0,1100.0,40.0,,0.0,16.0,0.0,0.0,,0.0,14.0,0.0,0.0,0.0,2.0,102.0,16.4,,7.0,,,,3.0,,,,,,,
Lr,,262.0,,,3.0,,,,,4.9,,,0.0,-14.326634,3.3068120000000003,4.166322,0.318004,18.08,,,,,,27.31,0.0,1.0,1.0,1.0,0.0,0.0,1900.0,42.0,,5.0,17.0,0.0,0.0,,0.0,14.0,5.0,1.0,0.0,2.0,103.0,,,7.0,,,,3.0,,,,,,,
Rf,,265.0,,,4.0,,,,,6.0,,,0.0,-14.326634,3.3068120000000003,4.166322,0.318004,18.08,,,,,,27.31,0.0,1.0,0.0,1.0,0.0,0.0,,,,8.0,18.0,8.0,2.0,,0.0,14.0,0.0,0.0,0.0,2.0,104.0,,,7.0,,,,4.0,,,,,,,
Db,,268.0,,,5.0,,,,,,,,0.0,-14.326634,3.3068120000000003,4.166322,0.318004,18.08,,,,,,27.31,0.0,1.0,0.0,1.0,0.0,0.0,,,,7.0,19.0,7.0,3.0,,0.0,14.0,0.0,0.0,0.0,2.0,105.0,,,7.0,,,,5.0,,,,,,,
Sg,,271.0,,,6.0,,,,,,,,0.0,-14.326634,3.3068120000000003,4.166322,0.318004,18.08,,,,,,27.31,0.0,1.0,0.0,1.0,0.0,0.0,,,,6.0,20.0,6.0,4.0,,0.0,14.0,0.0,0.0,0.0,2.0,106.0,,,7.0,,,,6.0,,,,,,,
Bh,,272.0,,,7.0,,,,,,,,0.0,-14.326634,3.3068120000000003,4.166322,0.318004,18.08,,,,,,27.31,0.0,1.0,0.0,1.0,0.0,0.0,,,,5.0,21.0,5.0,5.0,,0.0,14.0,0.0,0.0,0.0,2.0,107.0,,,7.0,,,,7.0,,,,,,,
Hs,,270.0,,,8.0,,,,,,,,0.0,-14.326634,3.3068120000000003,4.166322,0.318004,18.08,,,,,,27.31,0.0,1.0,0.0,1.0,0.0,0.0,,,,4.0,22.0,4.0,6.0,,0.0,14.0,0.0,0.0,0.0,2.0,108.0,,,7.0,,,,,,,,,,,
