H 1.250000
He nan
Li 1.610000
Be 1.080000
B 0.795000
C 0.640000
N 0.540000
O 0.465000
F 0.405000
Ne 0.360000
Na 2.650000
Mg 2.030000
Al 1.675000
Si 1.420000
P 1.240000
S 1.100000
Cl 1.010000
Ar 0.920000
K 3.690000
Ca 3.000000
Sc 2.750000
Ti 2.580000
V 2.430000
Cr 2.440000
Mn 2.220000
Fe 2.110000
Co 2.020000
Ni 2.180000
Cu 2.040000
Zn 1.880000
Ga 1.695000
Ge 1.560000
As 1.415000
Se 1.285000
Br 1.200000
Kr 1.160000
Rb 4.100000
Sr 3.210000
Y 2.940000
Zr 2.825000
Nb 2.760000
Mo 2.720000
Tc 2.650000
Ru 2.605000
Rh 2.520000
Pd 2.450000
Ag 2.375000
Cd 2.215000
In 2.050000
Sn 1.880000
Sb 1.765000
Te 1.670000
I 1.585000
Xe 1.560000
Cs 4.310000
Ba 3.402000
La 3.080000
Ce 4.500000
Pr 4.480000
Nd 3.990000
Pm 3.990000
Sm 4.140000
Eu 3.940000
Gd 3.910000
Tb 3.890000
Dy 3.670000
Ho 3.650000
Er 3.630000
Tm 3.600000
Yb 3.590000
Lu 3.370000
Hf 2.910000
Ta 2.790000
W 2.735000
Re 2.680000
Os 2.650000
Ir 2.628000
Pt 2.700000
Au 2.660000
Hg 2.410000
Tl 2.235000
Pb 2.090000
Bi 1.997000
Po 1.900000
At 1.830000
Rn 1.780000
Fr 4.370000
Ra 3.530000
Ac 3.120000
Th 4.980000
Pa 4.860000
U 4.720000
Np 4.830000
Pu 4.910000
Am 4.890000
Cm nan
Bk nan
Cf nan
Es nan
Fm nan
Md nan
No nan
Lr nan
Rf nan
Db nan
Sg nan
Bh nan
Hs nan
Mt nan
Ds nan
Rg nan
Cn nan
