H,0.0
He,0.0
Li,0.0
Be,0.0
B,0.0
C,0.0
N,0.0
O,0.0
F,0.0
Ne,0.0
Na,0.0
Mg,0.0
Al,0.0
Si,0.0
P,0.0
S,0.0
Cl,0.0
Ar,0.0
K,0.0
Ca,0.0
Sc,0.0
Ti,0.0
V,0.0
Cr,0.0
Mn,0.0
Fe,0.0
Co,0.0
Ni,0.0
Cu,0.0
Zn,0.0
Ga,0.0
Ge,0.0
As,0.0
Se,0.0
Br,0.0
Kr,0.0
Rb,0.0
Sr,0.0
Y,0.0
Zr,0.0
Nb,0.0
Mo,0.0
Tc,0.0
Ru,0.0
Rh,0.0
Pd,0.0
Ag,0.0
Cd,0.0
In,0.0
Sn,0.0
Sb,0.0
Te,0.0
I,0.0
Xe,0.0
Cs,0.0
Ba,0.0
La,0.0
Ce,1.0
Pr,3.0
Nd,4.0
Pm,5.0
Sm,6.0
Eu,7.0
Gd,7.0
Tb,9.0
Dy,10.0
Ho,11.0
Er,12.0
Tm,13.0
Yb,14.0
Lu,14.0
Hf,14.0
Ta,14.0
W,14.0
Re,14.0
Os,14.0
Ir,14.0
Pt,14.0
Au,14.0
Hg,14.0
Tl,14.0
Pb,14.0
Bi,14.0
Po,14.0
At,14.0
Rn,14.0
Fr,0.0
Ra,0.0
Ac,0.0
Th,0.0
Pa,2.0
U,3.0
Np,4.0
Pu,6.0
Am,7.0
Cm,7.0
Bk,9.0
Cf,10.0
Es,11.0
Fm,12.0
Md,13.0
No,14.0
Lr,14.0
Rf,14.0
Db,14.0
Sg,14.0
Bh,14.0
Hs,14.0
Mt,14.0
Ds,14.0
Rg,14.0
Cn,14.0
