H 1.000000
He 2.000000
Li 1.000000
Be 2.000000
B 2.000000
C 2.000000
N 2.000000
O 2.000000
F 2.000000
Ne 2.000000
Na 1.000000
Mg 2.000000
Al 2.000000
Si 2.000000
P 2.000000
S 2.000000
Cl 2.000000
Ar 2.000000
K 1.000000
Ca 2.000000
Sc 2.000000
Ti 2.000000
V 2.000000
Cr 1.000000
Mn 2.000000
Fe 2.000000
Co 2.000000
Ni 2.000000
Cu 1.000000
Zn 2.000000
Ga 2.000000
Ge 2.000000
As 2.000000
Se 2.000000
Br 2.000000
Kr 2.000000
Rb 1.000000
Sr 2.000000
Y 2.000000
Zr 2.000000
Nb 1.000000
Mo 1.000000
Tc 2.000000
Ru 1.000000
Rh 1.000000
Pd 0.000000
Ag 1.000000
Cd 2.000000
In 2.000000
Sn 2.000000
Sb 2.000000
Te 2.000000
I 2.000000
Xe 2.000000
Cs 1.000000
Ba 2.000000
La 2.000000
Ce 2.000000
Pr 2.000000
Nd 2.000000
Pm 2.000000
Sm 2.000000
Eu 2.000000
Gd 2.000000
Tb 2.000000
Dy 2.000000
Ho 2.000000
Er 2.000000
Tm 2.000000
Yb 2.000000
Lu 2.000000
Hf 2.000000
Ta 2.000000
W 2.000000
Re 2.000000
Os 2.000000
Ir 2.000000
Pt 1.000000
Au 1.000000
Hg 2.000000
Tl 2.000000
Pb 2.000000
Bi 2.000000
Po 2.000000
At 2.000000
Rn 2.000000
