H,1.0
He,0.0
Li,1.0
Be,0.0
B,5.0
C,4.0
N,3.0
O,2.0
F,1.0
Ne,0.0
Na,1.0
Mg,0.0
Al,5.0
Si,4.0
P,3.0
S,2.0
Cl,1.0
Ar,0.0
K,1.0
Ca,0.0
Sc,9.0
Ti,8.0
V,7.0
Cr,6.0
Mn,5.0
Fe,4.0
Co,3.0
Ni,2.0
Cu,1.0
Zn,0.0
Ga,5.0
Ge,4.0
As,3.0
Se,2.0
Br,1.0
Kr,0.0
Rb,1.0
Sr,0.0
Y,9.0
Zr,8.0
Nb,7.0
Mo,6.0
Tc,5.0
Ru,4.0
Rh,3.0
Pd,0.0
Ag,1.0
Cd,0.0
In,5.0
Sn,4.0
Sb,3.0
Te,2.0
I,1.0
Xe,0.0
Cs,1.0
Ba,0.0
La,9.0
Ce,22.0
Pr,11.0
Nd,10.0
Pm,9.0
Sm,8.0
Eu,7.0
Gd,16.0
Tb,5.0
Dy,4.0
Ho,3.0
Er,2.0
Tm,1.0
Yb,0.0
Lu,9.0
Hf,8.0
Ta,7.0
W,6.0
Re,5.0
Os,4.0
Ir,3.0
Pt,2.0
Au,1.0
Hg,0.0
Tl,5.0
Pb,4.0
Bi,3.0
Po,2.0
At,1.0
Rn,0.0
Fr,1.0
Ra,0.0
Ac,9.0
Th,8.0
Pa,21.0
U,20.0
Np,19.0
Pu,8.0
Am,7.0
Cm,16.0
Bk,5.0
Cf,4.0
Es,3.0
Fm,2.0
Md,1.0
No,0.0
Lr,5.0
Rf,8.0
Db,7.0
Sg,6.0
Bh,5.0
Hs,4.0
Mt,3.0
Ds,2.0
Rg,1.0
Cn,0.0
